Date,Number
2024-12-08 10:03:19,599173
2024-12-08 10:03:21,599181
2024-12-08 10:03:24,599189
2024-12-08 10:03:26,599197
2024-12-08 10:03:28,599208
2024-12-08 10:03:30,599215
2024-12-08 10:03:32,599222
2024-12-08 10:03:34,599227
2024-12-08 10:03:36,599238
2024-12-08 10:03:38,599246
2024-12-08 10:03:40,599253
2024-12-08 10:03:42,599262
2024-12-08 10:03:44,599271
2024-12-08 10:03:47,599283
2024-12-08 10:03:49,599295
2024-12-08 10:03:51,599304
2024-12-08 10:03:53,599313
2024-12-08 10:03:55,599329
2024-12-08 10:03:57,599339
2024-12-08 10:03:59,599347
2024-12-08 10:04:01,599356
2024-12-08 10:04:03,599361
2024-12-08 10:04:05,599368
2024-12-08 10:04:08,599378
2024-12-08 10:04:10,599389
2024-12-08 10:04:12,599400
2024-12-08 10:04:14,599411
2024-12-08 10:04:16,599420
2024-12-08 10:04:18,599431
2024-12-08 10:04:20,599441
2024-12-08 10:04:22,599446
2024-12-08 10:04:24,599458
2024-12-08 10:04:27,599471
2024-12-08 10:04:29,599477
2024-12-08 10:04:31,599481
2024-12-08 10:04:33,599488
2024-12-08 10:04:35,599495
2024-12-08 10:04:37,599507
2024-12-08 10:04:39,599516
2024-12-08 10:04:41,599533
2024-12-08 10:04:43,599546
2024-12-08 10:04:46,599563
2024-12-08 10:04:48,599571
2024-12-08 10:04:50,599579
2024-12-08 10:04:52,599591
2024-12-08 10:04:54,599603
2024-12-08 10:04:56,599613
2024-12-08 10:04:58,599623
2024-12-08 10:05:00,599631
2024-12-08 10:05:02,599636
2024-12-08 10:05:05,599647
2024-12-08 10:05:07,599657
2024-12-08 10:05:09,599670
2024-12-08 10:05:11,599676
2024-12-08 10:05:14,599685
2024-12-08 10:05:16,599702
2024-12-08 10:05:18,599711
2024-12-08 10:05:20,599719
2024-12-08 10:05:22,599726
2024-12-08 10:05:24,599735
2024-12-08 10:05:26,599744
2024-12-08 10:05:28,599760
2024-12-08 10:05:30,599768
2024-12-08 10:05:32,599776
2024-12-08 10:05:34,599782
2024-12-08 10:05:36,599790
2024-12-08 10:05:39,599794
2024-12-08 10:05:41,599806
2024-12-08 10:05:43,599819
2024-12-08 10:05:45,599834
2024-12-08 10:05:47,599848
2024-12-08 10:05:49,599852
2024-12-08 10:05:51,599861
2024-12-08 10:05:53,599871
2024-12-08 10:05:55,599882
2024-12-08 10:05:57,599892
2024-12-08 10:06:00,599898
2024-12-08 10:06:02,599908
2024-12-08 10:06:04,599916
2024-12-08 10:06:06,599926
2024-12-08 10:06:08,599932
2024-12-08 10:06:10,599943
2024-12-08 10:06:12,599949
2024-12-08 10:06:14,599958
2024-12-08 10:06:17,599974
2024-12-08 10:06:19,599987
2024-12-08 10:06:21,599998
2024-12-08 10:06:23,600007
2024-12-08 10:06:25,600012
2024-12-08 10:06:27,600021
2024-12-08 10:06:29,600032
2024-12-08 10:06:31,600049
2024-12-08 10:06:33,600069
